,Unnamed: 0,0,Título do Artigo,Autor,Palavras-chave,Resumo,Link,PDF Links
0,0,,,,,,,
1,1,,Temas relevantes da agenda federativa - Dezembro 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=24331,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/agenda_federativa_dezembro.pdf
2,2,,Temas relevantes da agenda federativa - Novembro 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=24330,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/150121_agenda_federativa_novembro
3,3,,Temas relevantes da agenda federativa - Outubro 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=23667,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/141007_agenda_federativa_outubro
4,4,,Temas relevantes da agenda federativa - Setembro 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=23400,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/140902_agenda_federativa_setembro.pdf
5,5,,,,,,,
6,6,,Temas relevantes da agenda federativa - Julho 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=22810,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/140701_agenda_federativa_julho.pdf
7,7,,Temas relevantes da agenda federativa - Junho 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=22594,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/140603_agenda_federativa_junho.pdf
8,8,,Temas relevantes da agenda federativa - Maio 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=22257,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/140509_agenda_federativa_maio.pdf
9,9,,Temas relevantes da agenda federativa - Março 2014,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=21646,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/Agenda_federativa/140311_agenda_federativa_marco.pdf
10,10,,Temas relevantes da agenda federativa - Fevereiro 2014,Rodrigo Costa,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=21363,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/Agenda_federativa/140210_agenda_federativa_fevereiro.pdf
11,11,,Temas relevantes da agenda federativa - Dezembro 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=20864,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/131201_agendafederativa_dezembro_ipea.pdf
12,12,,Temas relevantes da agenda federativa - Novembro 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=20863,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/131101_agendafederativa_novembro_ipea.pdf
13,13,,Temas relevantes da agenda federativa - Outubro 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=20200,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/131014_agendafederativa_outubro_ipea.pdf
14,14,,Temas relevantes da agenda federativa - Agosto 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=20199,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/131014_agendafederativa_agosto_ipea.pdf
15,15,,Temas relevantes da agenda federativa - Setembro 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=20230,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/131016_agendafederativa_setembro_ipea.pdf
16,16,,Temas relevantes da agenda federativa - Julho 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=19002,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/130701_agendafederativa_julho_ipea.pdf
17,17,,Temas relevantes da agenda federativa - Junho 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=19000,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/130630_agendafederativa_junho_ipea.pdf
18,18,,Temas relevantes da agenda federativa - Maio 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=20198,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/131014_agendafederativa_maio_ipea.pdf
19,19,,Temas relevantes da agenda federativa - Abril 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=17714,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/130415_agendafederativa_abril_saf_ipea.pdf
20,20,,Temas relevantes da agenda federativa - Março 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=17713,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/130315_agendafederativa_marco_saf_ipea.pdf
21,21,,Temas relevantes da agenda federativa - Fevereiro 2013,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=16868,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/130206_agendafederativa_fevereiro_acordotecnico.pdf
22,22,,Temas relevantes da agenda federativa - Setembro 2012,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=16058,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/120920_agendafederativa_setembro_saf_ipea.pdf
23,23,,Temas relevantes da agenda federativa - Agosto 2012,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=16057,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/120820_agendafederativa_agosto_saf_ipea.pdf
24,24,,Temas relevantes da agenda federativa - Julho 2012,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=16056,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/120720_agendafederativa_julho_saf_ipea.pdf
25,25,,Temas relevantes da agenda federativa - Junho 2012,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=16055,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/120620_agendafederativa_junho_saf_ipea.pdf
26,26,,Temas relevantes da agenda federativa - Maio 2012,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=14080,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/120509_agendafederativa_maio.pdf
27,27,,Temas relevantes da agenda federativa - Abril 2012,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=14998,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/120410_agendafederativa_abril.pdf
28,28,,Temas relevantes da agenda federativa - Março 2012,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=14997,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/120309_agendafederativa_marco.pdf
29,29,,Temas relevantes da agenda federativa - Fevereiro 2012,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=14996,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/120210_agendafederativa_fevereiro.pdf
30,30,,Temas relevantes da agenda federativa - Dezembro 2011,Administrator,"ipea, economia, governo, federal, brasil, desenvolvimento, instituto de pesquisa econômica aplicada, secretaria de assuntos estratégicos, sae, pesquisa",Ipea - Instituto de Pesquisa Econômica Aplicada,https://portalantigo.ipea.gov.br/portal/index.php?option=com_content&view=article&id=12933,https://portalantigo.ipea.gov.br/portal/images/stories/PDFs/temasrelevantes/111219_agendafederativa_dezembro.pdf
